instancia,populacao,seed,melhor_inicial,melhor_final,melhoria_absoluta,melhoria_percentual,gap_percentual,geracoes,geracoes_sem_melhora,geracao_ultima_melhoria,criterio_parada,tempo_segundos
Teste04,100,43,1231.92,1231.92,0.0,0.0,5.94,250,250,-1,estagnacao,0.02
Teste04,100,44,1221.06,1221.06,0.0,0.0,5.01,250,250,-1,estagnacao,0.017
Teste04,100,45,1213.16,1213.16,0.0,0.0,4.33,250,250,-1,estagnacao,0.02
Teste04,100,46,1222.98,1206.22,16.76,1.37,3.73,790,250,539,estagnacao,0.031
Teste04,100,47,1210.85,1210.85,0.0,0.0,4.13,250,250,-1,estagnacao,0.015
Teste04,100,48,1255.49,1255.49,0.0,0.0,7.97,250,250,-1,estagnacao,0.015
Teste05,50,39,1080.16,1066.04,14.12,1.31,4.5,823,350,472,estagnacao,0.027
Teste05,50,40,1092.01,1073.24,18.77,1.72,5.21,425,350,74,estagnacao,0.022
Teste05,50,41,1093.86,1059.38,34.48,3.15,3.85,560,350,209,estagnacao,0.019
Teste05,50,42,1097.54,1097.54,0.0,0.0,7.59,350,350,-1,estagnacao,0.016
Teste05,50,43,1096.46,1067.67,28.79,2.63,4.66,693,350,342,estagnacao,0.039
Teste05,50,44,1080.73,1078.38,2.35,0.22,5.71,463,350,112,estagnacao,0.025
Teste05,50,45,1091.43,1087.43,4.0,0.37,6.6,481,350,130,estagnacao,0.028
Teste05,50,46,1071.94,1071.94,0.0,0.0,5.08,350,350,-1,estagnacao,0.014
Teste05,50,47,1078.73,1076.75,1.98,0.18,5.55,820,350,469,estagnacao,0.027
Teste05,50,48,1081.98,1048.66,33.32,3.08,2.8,545,350,194,estagnacao,0.019
Teste05,100,39,1080.16,1061.93,18.23,1.69,4.1,982,350,631,estagnacao,0.037
Teste05,100,40,1062.6,1062.6,0.0,0.0,4.16,350,350,-1,estagnacao,0.032
Teste05,100,41,1083.23,1083.23,0.0,0.0,6.19,350,350,-1,estagnacao,0.022
Teste05,100,42,1059.61,1059.61,0.0,0.0,3.87,350,350,-1,estagnacao,0.021
Teste05,100,43,1087.5,1072.21,15.29,1.41,5.11,616,350,265,estagnacao,0.029
Teste05,100,44,1080.73,1064.04,16.69,1.54,4.31,1061,350,710,estagnacao,0.046
Teste05,100,45,1039.29,1039.29,0.0,0.0,1.88,350,350,-1,estagnacao,0.021
Teste05,100,46,1071.94,1071.94,0.0,0.0,5.08,350,350,-1,estagnacao,0.021
Teste05,100,47,1078.73,1076.8,1.93,0.18,5.56,375,350,24,estagnacao,0.023
Teste05,100,48,1081.98,1081.98,0.0,0.0,6.06,350,350,-1,estagnacao,0.029
Wren01,50,39,9313.0,8270.0,1043.0,11.2,5.27,372,269,102,estagnacao,0.041
Wren01,50,40,8923.0,8197.0,726.0,8.14,4.34,775,269,505,estagnacao,0.064
Wren01,50,41,8468.0,8386.0,82.0,0.97,6.75,497,269,227,estagnacao,0.053
Wren01,50,42,8707.0,8199.0,508.0,5.83,4.37,729,269,459,estagnacao,0.052
Wren01,50,43,9177.0,8770.0,407.0,4.44,11.63,639,269,369,estagnacao,0.05
Wren01,50,44,9263.0,8757.0,506.0,5.46,11.47,601,269,331,estagnacao,0.053
Wren01,50,45,9248.0,8334.0,914.0,9.88,6.08,488,269,218,estagnacao,0.062
Wren01,50,46,8802.0,8678.0,124.0,1.41,10.46,539,269,269,estagnacao,0.047
Wren01,50,47,9213.0,8549.0,664.0,7.21,8.82,388,269,118,estagnacao,0.04
Wren01,50,48,9183.0,8225.0,958.0,10.43,4.7,828,269,558,estagnacao,0.063
Wren01,100,39,9239.0,8322.0,917.0,9.93,5.93,1065,269,795,estagnacao,0.093
Wren01,100,40,8923.0,8587.0,336.0,3.77,9.3,396,269,126,estagnacao,0.066
Wren01,100,41,8468.0,8468.0,0.0,0.0,7.79,269,269,-1,estagnacao,0.054
Wren01,100,42,8707.0,8242.0,465.0,5.34,4.91,356,269,86,estagnacao,0.054
Wren01,100,43,8930.0,8698.0,232.0,2.6,10.72,451,269,181,estagnacao,0.072
Wren01,100,44,8975.0,8724.0,251.0,2.8,11.05,272,269,2,estagnacao,0.064
Wren01,100,45,9248.0,8784.0,464.0,5.02,11.81,594,269,324,estagnacao,0.066
Wren01,100,46,8802.0,8721.0,81.0,0.92,11.01,295,269,25,estagnacao,0.057
Wren01,100,47,9119.0,8167.0,952.0,10.44,3.96,481,269,211,estagnacao,0.07
Wren01,100,48,9163.0,8193.0,970.0,10.59,4.29,823,269,553,estagnacao,0.131
Wren02,50,39,14810.0,14406.0,404.0,2.73,3.58,2000,1711,288,max_geracoes,0.406
Wren02,50,40,14700.0,14205.0,495.0,3.37,2.14,2000,175,1824,max_geracoes,0.423
Wren02,50,41,14941.0,14226.0,715.0,4.79,2.29,2000,905,1094,max_geracoes,0.413
Wren02,50,42,14756.0,14418.0,338.0,2.29,3.67,2000,634,1365,max_geracoes,0.389
Wren02,50,43,14896.0,14249.0,647.0,4.34,2.45,2000,340,1659,max_geracoes,0.369
Wren02,50,44,14737.0,14156.0,581.0,3.94,1.78,2000,783,1216,max_geracoes,0.477
