instancia,populacao,seed,melhor_inicial,melhor_final,melhoria_absoluta,melhoria_percentual,gap_percentual,geracoes,geracoes_sem_melhora,geracao_ultima_melhoria,criterio_parada,tempo_segundos
Teste04,100,43,1231.92,1157.3,74.62,6.06,-0.47,476,300,175,estagnacao,0.201
Teste04,100,44,1221.06,1175.09,45.97,3.76,1.06,836,300,535,estagnacao,0.371
Teste04,100,45,1213.16,1162.8,50.36,4.15,0.0,507,300,206,estagnacao,0.208
Teste04,100,46,1222.98,1202.85,20.13,1.65,3.44,320,300,19,estagnacao,0.135
Teste04,100,47,1210.85,1157.08,53.77,4.44,-0.49,407,300,106,estagnacao,0.161
Teste04,100,48,1255.49,1204.58,50.91,4.05,3.59,499,300,198,estagnacao,0.214
Teste05,50,39,1080.16,1019.85,60.31,5.58,-0.03,591,300,290,estagnacao,0.261
Teste05,50,40,1092.01,1055.73,36.28,3.32,3.49,436,300,135,estagnacao,0.202
Teste05,50,41,1093.86,1032.97,60.89,5.57,1.26,408,300,107,estagnacao,0.19
Teste05,50,42,1097.54,1053.88,43.66,3.98,3.31,682,300,381,estagnacao,0.29
Teste05,50,43,1096.46,1057.05,39.41,3.59,3.62,395,300,94,estagnacao,0.196
Teste05,50,44,1080.73,1038.72,42.01,3.89,1.82,611,300,310,estagnacao,0.288
Teste05,50,45,1091.43,1056.82,34.61,3.17,3.6,441,300,140,estagnacao,0.211
Teste05,50,46,1071.94,1062.71,9.23,0.86,4.17,465,300,164,estagnacao,0.225
Teste05,50,47,1078.73,1038.07,40.66,3.77,1.76,862,300,561,estagnacao,0.382
Teste05,50,48,1081.98,1019.85,62.13,5.74,-0.03,509,300,208,estagnacao,0.249
Teste05,100,39,1080.16,1032.4,47.76,4.42,1.2,638,300,337,estagnacao,0.349
Teste05,100,40,1062.6,1032.97,29.63,2.79,1.26,484,300,183,estagnacao,0.274
Teste05,100,41,1083.23,1024.02,59.21,5.47,0.38,344,300,43,estagnacao,0.181
Teste05,100,42,1059.61,1059.61,0.0,0.0,3.87,300,300,-1,estagnacao,0.168
Teste05,100,43,1087.5,1024.02,63.48,5.84,0.38,767,300,466,estagnacao,0.395
Teste05,100,44,1080.73,1030.21,50.52,4.67,0.99,478,300,177,estagnacao,0.237
Teste05,100,45,1039.29,1039.29,0.0,0.0,1.88,300,300,-1,estagnacao,0.159
Teste05,100,46,1071.94,1038.78,33.16,3.09,1.83,559,300,258,estagnacao,0.278
Teste05,100,47,1078.73,1055.53,23.2,2.15,3.47,760,300,459,estagnacao,0.362
Teste05,100,48,1081.98,1054.8,27.18,2.51,3.4,660,300,359,estagnacao,0.326
Wren01,50,39,9313.0,8142.0,1171.0,12.57,3.64,309,300,8,estagnacao,0.182
Wren01,50,40,8923.0,8142.0,781.0,8.75,3.64,348,300,47,estagnacao,0.197
Wren01,50,41,8468.0,8142.0,326.0,3.85,3.64,333,300,32,estagnacao,0.198
Wren01,50,42,8707.0,8142.0,565.0,6.49,3.64,304,300,3,estagnacao,0.172
Wren01,50,43,9177.0,8142.0,1035.0,11.28,3.64,309,300,8,estagnacao,0.196
Wren01,50,44,9263.0,8142.0,1121.0,12.1,3.64,360,300,59,estagnacao,0.208
Wren01,50,45,9248.0,8142.0,1106.0,11.96,3.64,327,300,26,estagnacao,0.19
Wren01,50,46,8802.0,8142.0,660.0,7.5,3.64,303,300,2,estagnacao,0.179
Wren01,50,47,9213.0,7856.0,1357.0,14.73,0.0,540,300,239,estagnacao,0.284
Wren01,50,48,9183.0,8142.0,1041.0,11.34,3.64,303,300,2,estagnacao,0.172
Wren01,100,39,9239.0,7856.0,1383.0,14.97,0.0,732,300,431,estagnacao,0.429
Wren01,100,40,8923.0,7980.0,943.0,10.57,1.58,541,300,240,estagnacao,0.335
Wren01,100,41,8468.0,8142.0,326.0,3.85,3.64,301,300,0,estagnacao,0.22
Wren01,100,42,8707.0,8142.0,565.0,6.49,3.64,311,300,10,estagnacao,0.2
Wren01,100,43,8930.0,8142.0,788.0,8.82,3.64,317,300,16,estagnacao,0.218
Wren01,100,44,8975.0,8142.0,833.0,9.28,3.64,309,300,8,estagnacao,0.212
Wren01,100,45,9248.0,8142.0,1106.0,11.96,3.64,308,300,7,estagnacao,0.215
Wren01,100,46,8802.0,8142.0,660.0,7.5,3.64,342,300,41,estagnacao,0.235
Wren01,100,47,9119.0,8142.0,977.0,10.71,3.64,302,300,1,estagnacao,0.215
Wren01,100,48,9163.0,7966.0,1197.0,13.06,1.4,425,300,124,estagnacao,0.266
Wren02,50,39,14810.0,13788.0,1022.0,6.9,-0.86,493,300,192,estagnacao,2.116
Wren02,50,40,14700.0,13947.0,753.0,5.12,0.28,580,300,279,estagnacao,2.548
